================ Training Loss (Wed Feb 26 11:24:39 2020) ================
(epoch: 34, iters: 300, time: 0.065, data: 0.001) G_GAN: 1.426 G_L1: 26.876 D_real: 0.404 D_fake: 0.096 
(epoch: 34, iters: 400, time: 0.238, data: 0.001) G_GAN: 2.068 G_L1: 24.062 D_real: 0.028 D_fake: 1.025 
(epoch: 35, iters: 100, time: 0.065, data: 0.116) G_GAN: 3.253 G_L1: 39.664 D_real: 0.016 D_fake: 0.705 
(epoch: 35, iters: 200, time: 0.066, data: 0.001) G_GAN: 3.316 G_L1: 29.312 D_real: 0.330 D_fake: 0.023 
(epoch: 35, iters: 300, time: 0.065, data: 0.001) G_GAN: 0.829 G_L1: 21.674 D_real: 0.992 D_fake: 0.804 
(epoch: 35, iters: 400, time: 0.246, data: 0.001) G_GAN: 3.112 G_L1: 35.056 D_real: 0.288 D_fake: 0.041 
(epoch: 36, iters: 100, time: 0.065, data: 0.103) G_GAN: 2.371 G_L1: 27.683 D_real: 0.002 D_fake: 0.626 
(epoch: 36, iters: 200, time: 0.065, data: 0.001) G_GAN: 2.583 G_L1: 30.248 D_real: 0.047 D_fake: 0.181 
(epoch: 36, iters: 300, time: 0.065, data: 0.001) G_GAN: 2.677 G_L1: 33.949 D_real: 0.007 D_fake: 0.747 
(epoch: 36, iters: 400, time: 0.233, data: 0.001) G_GAN: 2.593 G_L1: 21.537 D_real: 0.079 D_fake: 0.254 
(epoch: 37, iters: 100, time: 0.065, data: 0.154) G_GAN: 0.656 G_L1: 24.616 D_real: 0.737 D_fake: 0.167 
(epoch: 37, iters: 200, time: 0.066, data: 0.001) G_GAN: 1.468 G_L1: 25.740 D_real: 0.488 D_fake: 1.008 
(epoch: 37, iters: 300, time: 0.065, data: 0.001) G_GAN: 2.618 G_L1: 23.908 D_real: 0.781 D_fake: 0.044 
(epoch: 37, iters: 400, time: 0.247, data: 0.001) G_GAN: 3.560 G_L1: 34.447 D_real: 0.029 D_fake: 0.086 
(epoch: 38, iters: 100, time: 0.066, data: 0.171) G_GAN: 2.547 G_L1: 30.119 D_real: 0.003 D_fake: 0.233 
(epoch: 38, iters: 200, time: 0.066, data: 0.001) G_GAN: 2.130 G_L1: 27.102 D_real: 0.094 D_fake: 0.309 
(epoch: 38, iters: 300, time: 0.066, data: 0.001) G_GAN: 3.763 G_L1: 31.522 D_real: 0.147 D_fake: 0.042 
(epoch: 38, iters: 400, time: 0.230, data: 0.001) G_GAN: 2.296 G_L1: 27.801 D_real: 0.086 D_fake: 0.220 
(epoch: 39, iters: 100, time: 0.065, data: 0.155) G_GAN: 2.021 G_L1: 31.512 D_real: 0.101 D_fake: 0.252 
(epoch: 39, iters: 200, time: 0.067, data: 0.001) G_GAN: 1.153 G_L1: 25.794 D_real: 0.726 D_fake: 0.139 
(epoch: 39, iters: 300, time: 0.065, data: 0.001) G_GAN: 2.664 G_L1: 31.352 D_real: 0.014 D_fake: 0.242 
(epoch: 39, iters: 400, time: 0.244, data: 0.001) G_GAN: 1.789 G_L1: 25.440 D_real: 0.188 D_fake: 0.505 
(epoch: 40, iters: 100, time: 0.065, data: 0.117) G_GAN: 3.270 G_L1: 30.230 D_real: 0.012 D_fake: 0.100 
(epoch: 40, iters: 200, time: 0.065, data: 0.001) G_GAN: 0.895 G_L1: 20.980 D_real: 1.105 D_fake: 0.142 
(epoch: 40, iters: 300, time: 0.065, data: 0.001) G_GAN: 2.374 G_L1: 26.115 D_real: 0.193 D_fake: 0.290 
(epoch: 40, iters: 400, time: 0.242, data: 0.001) G_GAN: 3.724 G_L1: 33.716 D_real: 0.192 D_fake: 0.051 
(epoch: 41, iters: 100, time: 0.065, data: 0.095) G_GAN: 2.958 G_L1: 20.497 D_real: 0.078 D_fake: 0.522 
(epoch: 41, iters: 200, time: 0.065, data: 0.001) G_GAN: 4.132 G_L1: 43.054 D_real: 0.007 D_fake: 0.034 
(epoch: 41, iters: 300, time: 0.066, data: 0.001) G_GAN: 2.278 G_L1: 30.528 D_real: 0.004 D_fake: 1.085 
(epoch: 41, iters: 400, time: 0.262, data: 0.001) G_GAN: 2.967 G_L1: 32.088 D_real: 0.099 D_fake: 0.066 
(epoch: 42, iters: 100, time: 0.065, data: 0.108) G_GAN: 2.275 G_L1: 27.770 D_real: 0.113 D_fake: 0.640 
(epoch: 42, iters: 200, time: 0.073, data: 0.001) G_GAN: 2.247 G_L1: 29.302 D_real: 0.412 D_fake: 0.051 
